District,Crop,Soil,Area_Hectares,Motor_HP,Total_Liters_Used,Irrigation_Hours
Lahore,Sugarcane,Clay,8.0,25.0,9201387.14,83.59
Hyderabad,Cotton,Loam,18.13,20.0,17117896.31,61.27
Faisalabad,Maize,Sandy,7.85,50.0,10130096.36,45.65
Lahore,Sugarcane,Clay,12.74,40.0,11815630.25,72.71
Lahore,Sugarcane,Loam,3.22,30.0,4113632.18,32.13
Sargodha,Maize,Sandy,10.72,50.0,15801317.67,33.95
Faisalabad,Sugarcane,Loam,14.31,10.0,16895002.11,373.11
Sargodha,Rice,Loam,9.31,5.0,11267228.03,238.57
Sargodha,Rice,Loam,19.51,10.0,25343875.57,279.12
Multan,Wheat,Loam,2.53,5.0,2500714.83,68.8
Hyderabad,Maize,Sandy,15.99,40.0,18815490.53,35.19
Multan,Maize,Loam,8.51,25.0,10203442.48,58.94
Faisalabad,Sugarcane,Clay,17.43,40.0,16397085.84,88.57
Hyderabad,Maize,Clay,12.2,20.0,10331675.47,37.33
Sukkur,Rice,Clay,3.43,20.0,3720026.67,16.11
Lahore,Maize,Clay,10.26,50.0,6986356.52,33.91
Sukkur,Wheat,Sandy,15.06,10.0,19307622.16,171.93
Sukkur,Wheat,Sandy,6.47,50.0,8007754.94,15.09
Sukkur,Sugarcane,Sandy,9.94,7.5,16565720.27,200.13
Sargodha,Wheat,Sandy,5.43,30.0,9820710.97,35.59
Multan,Maize,Loam,18.63,30.0,21270044.62,102.97
Lahore,Rice,Sandy,4.84,5.0,12869914.22,603.37
Lahore,Maize,Clay,2.19,7.5,1900351.83,62.55
Sukkur,Maize,Sandy,15.13,25.0,22530719.82,77.69
Lahore,Wheat,Loam,17.95,25.0,17525408.77,168.07
Bahawalpur,Sugarcane,Sandy,11.29,50.0,23990058.24,130.61
Bahawalpur,Wheat,Sandy,6.53,5.0,8734829.02,453.35
Hyderabad,Maize,Sandy,9.11,50.0,13254464.79,18.6
Faisalabad,Maize,Clay,4.05,50.0,3211959.67,13.33
Multan,Rice,Sandy,12.17,15.0,21364919.48,215.47
Multan,Wheat,Loam,4.96,40.0,4907250.56,18.49
Faisalabad,Rice,Loam,11.06,10.0,15594126.76,340.93
Bahawalpur,Rice,Clay,16.65,40.0,21100804.96,150.29
Faisalabad,Rice,Clay,16.38,50.0,17032327.14,70.7
Faisalabad,Cotton,Clay,15.86,25.0,16074687.57,139.4
Faisalabad,Rice,Loam,6.06,25.0,8481218.88,77.0
Hyderabad,Rice,Loam,14.46,25.0,18368249.46,54.36
Multan,Sugarcane,Sandy,3.57,5.0,6824708.98,193.07
Sukkur,Wheat,Clay,1.07,30.0,930373.06,2.87
Bahawalpur,Maize,Clay,13.36,25.0,14134262.68,153.54
Bahawalpur,Cotton,Clay,17.54,5.0,19098523.55,994.98
Sargodha,Rice,Clay,10.57,20.0,10300962.92,55.54
Hyderabad,Cotton,Loam,17.28,5.0,19203223.13,286.72
Sargodha,Wheat,Clay,8.17,25.0,5912053.3,24.28
Sukkur,Sugarcane,Clay,18.98,50.0,21995265.78,37.92
Multan,Cotton,Clay,17.23,10.0,19352167.92,293.98
Multan,Rice,Sandy,10.53,20.0,18048763.44,130.51
Faisalabad,Sugarcane,Clay,9.4,30.0,9071042.84,63.79
Sukkur,Sugarcane,Clay,17.01,25.0,20562217.3,77.16
Sargodha,Maize,Sandy,2.42,15.0,3668494.15,26.18
Sargodha,Cotton,Loam,13.16,30.0,13569887.43,48.07
Faisalabad,Rice,Loam,1.68,10.0,2299600.57,49.47
Bahawalpur,Rice,Clay,3.43,7.5,4276160.6,157.93
Bahawalpur,Sugarcane,Clay,17.44,25.0,18884904.76,200.72
Bahawalpur,Sugarcane,Loam,12.25,25.0,16483529.96,171.12
Hyderabad,Sugarcane,Loam,19.15,40.0,26207867.3,47.31
Sukkur,Sugarcane,Clay,3.8,25.0,3499071.31,12.06
Sargodha,Sugarcane,Loam,11.56,7.5,11275841.32,171.29
Hyderabad,Sugarcane,Loam,8.0,15.0,8184655.58,38.76
Sukkur,Maize,Loam,18.57,50.0,17217155.97,29.95
Lahore,Wheat,Sandy,11.55,20.0,16961682.5,206.45
Sargodha,Cotton,Clay,8.57,30.0,8741179.78,31.41
Sukkur,Wheat,Loam,18.04,50.0,17401814.08,30.28
Bahawalpur,Cotton,Clay,3.31,20.0,2245082.83,29.14
Lahore,Maize,Loam,4.26,30.0,5242087.03,42.76
Faisalabad,Sugarcane,Sandy,13.09,30.0,20902880.35,145.75
Hyderabad,Cotton,Loam,4.82,20.0,5625823.93,19.62
Multan,Maize,Sandy,19.52,25.0,26059571.86,148.82
Lahore,Sugarcane,Sandy,4.22,7.5,7724992.32,230.09
Sukkur,Maize,Loam,15.26,7.5,13098251.1,158.01
Sargodha,Rice,Loam,18.56,7.5,26785089.38,403.54
Sargodha,Wheat,Clay,16.39,10.0,15426657.59,175.75
Hyderabad,Wheat,Sandy,7.08,15.0,10264923.34,48.96
Hyderabad,Sugarcane,Sandy,19.67,30.0,35794736.64,85.05
Sargodha,Rice,Loam,17.05,30.0,20190474.24,70.48
Lahore,Sugarcane,Sandy,14.1,15.0,30461985.39,476.09
Hyderabad,Wheat,Clay,6.09,7.5,5398254.62,51.83
Faisalabad,Sugarcane,Loam,1.66,15.0,2832488.94,42.06
Sukkur,Wheat,Clay,8.3,15.0,8908678.66,51.52
Multan,Cotton,Clay,18.71,7.5,17919275.29,359.45
Bahawalpur,Wheat,Loam,16.22,20.0,16644180.88,235.99
Sargodha,Cotton,Clay,16.21,50.0,18112037.45,40.34
Bahawalpur,Maize,Clay,18.19,25.0,14447148.57,150.09
Bahawalpur,Rice,Loam,6.21,30.0,8537501.74,74.67
Faisalabad,Wheat,Sandy,17.12,20.0,23372547.6,246.02
Multan,Maize,Clay,12.82,30.0,12228123.4,60.56
Sargodha,Wheat,Loam,2.73,25.0,3020873.07,12.45
Lahore,Cotton,Loam,7.9,15.0,9387972.51,144.86
Sargodha,Cotton,Clay,18.73,7.5,13485920.7,198.15
Bahawalpur,Maize,Sandy,10.1,25.0,14423474.48,150.03
Faisalabad,Cotton,Sandy,3.16,30.0,3797485.74,28.12
Sukkur,Rice,Loam,16.99,40.0,23335989.06,52.38
Multan,Maize,Clay,14.75,15.0,12143601.1,118.18
Faisalabad,Rice,Loam,7.58,30.0,12380031.38,90.93
Bahawalpur,Cotton,Clay,2.4,40.0,1751392.65,11.96
Multan,Sugarcane,Loam,4.52,15.0,7653582.65,72.29
Lahore,Wheat,Sandy,19.35,50.0,38945948.82,173.21
Hyderabad,Wheat,Sandy,9.12,50.0,13028566.56,19.78
Lahore,Wheat,Clay,5.93,50.0,5208179.06,23.32
Hyderabad,Rice,Loam,14.0,50.0,21898027.09,32.49
Bahawalpur,Maize,Loam,13.11,40.0,13460588.1,89.1
Bahawalpur,Sugarcane,Sandy,19.48,15.0,26364157.72,466.01
Faisalabad,Wheat,Clay,10.69,15.0,9761759.07,142.03
Multan,Wheat,Sandy,18.89,10.0,27548865.02,401.32
Multan,Maize,Loam,5.43,10.0,6482365.68,93.45
Faisalabad,Maize,Loam,15.83,25.0,16118045.62,135.06
Sukkur,Wheat,Loam,4.19,10.0,5592385.65,51.3
Multan,Rice,Sandy,9.97,50.0,19975987.5,60.44
Multan,Maize,Clay,11.18,20.0,8920794.96,67.11
Sukkur,Wheat,Loam,8.08,7.5,8389565.71,103.14
Bahawalpur,Cotton,Clay,19.8,20.0,19645234.86,263.7
Lahore,Sugarcane,Clay,9.12,7.5,11359479.2,364.11
Sargodha,Sugarcane,Loam,17.21,5.0,18191303.06,387.26
Sargodha,Sugarcane,Clay,15.28,5.0,17315217.59,374.72
Bahawalpur,Maize,Loam,14.55,40.0,14194609.75,98.6
Hyderabad,Wheat,Clay,7.52,20.0,5566397.38,21.03
Lahore,Cotton,Sandy,5.85,25.0,7214709.74,69.52
Lahore,Wheat,Clay,1.9,15.0,1660166.68,25.07
Hyderabad,Rice,Sandy,12.78,10.0,27843237.45,210.92
Sukkur,Rice,Sandy,2.37,7.5,5397318.54,63.53
Multan,Sugarcane,Sandy,11.97,50.0,23636203.34,71.2
Faisalabad,Rice,Sandy,2.92,5.0,7142171.99,312.86
Hyderabad,Maize,Loam,14.26,30.0,13691555.5,34.57
Lahore,Wheat,Sandy,3.79,50.0,6020679.85,27.82
Faisalabad,Cotton,Loam,3.76,50.0,4420027.88,18.48
Multan,Rice,Sandy,16.8,25.0,34434721.76,196.27
Bahawalpur,Cotton,Sandy,15.27,7.5,28231294.35,1034.84
Multan,Wheat,Sandy,6.59,5.0,8787409.87,260.63
Lahore,Rice,Loam,4.32,40.0,5246278.61,29.79
Sargodha,Maize,Loam,16.69,30.0,19752895.32,73.88
Bahawalpur,Cotton,Loam,10.03,10.0,11903025.41,323.38
Bahawalpur,Sugarcane,Loam,15.99,40.0,23200846.85,155.42
Sukkur,Wheat,Loam,7.08,10.0,7301960.73,64.19
Hyderabad,Rice,Clay,3.03,10.0,4077925.08,28.73
Lahore,Sugarcane,Clay,19.57,5.0,19431895.92,867.42
Faisalabad,Rice,Clay,11.57,5.0,16159010.35,666.37
Multan,Sugarcane,Sandy,2.04,50.0,3965036.06,11.8
Lahore,Wheat,Loam,14.96,7.5,12894459.12,399.44
Sargodha,Rice,Loam,19.4,50.0,34820341.87,72.44
Multan,Sugarcane,Sandy,2.92,50.0,7585100.93,21.75
Sargodha,Sugarcane,Sandy,5.01,15.0,8884375.86,61.1
Bahawalpur,Cotton,Sandy,5.48,50.0,8906438.66,47.39
Multan,Cotton,Loam,2.5,30.0,3135615.16,14.74
Sargodha,Rice,Loam,13.67,50.0,18735984.63,42.04
Lahore,Sugarcane,Sandy,9.9,5.0,23035235.73,1073.12
Faisalabad,Wheat,Clay,9.07,30.0,9924633.59,72.99
Multan,Cotton,Sandy,11.22,20.0,24624227.57,171.6
Bahawalpur,Rice,Clay,1.43,40.0,1578561.04,10.97
Multan,Maize,Clay,15.78,50.0,12710162.47,36.49
Sargodha,Maize,Clay,11.94,5.0,10166036.18,215.4
Sargodha,Wheat,Clay,12.66,40.0,12577555.3,34.28
Multan,Wheat,Clay,12.19,10.0,8662835.86,122.13
Bahawalpur,Cotton,Loam,9.17,15.0,9082823.46,170.61
Faisalabad,Maize,Clay,5.43,15.0,3909527.41,57.19
Faisalabad,Sugarcane,Clay,7.79,20.0,7301754.67,75.27
Lahore,Wheat,Loam,10.94,20.0,13026402.82,148.14
Sargodha,Cotton,Loam,7.87,10.0,10523305.27,119.22
Hyderabad,Cotton,Clay,2.92,7.5,3265796.32,31.98
Faisalabad,Maize,Sandy,17.89,15.0,18331595.95,261.84
Bahawalpur,Sugarcane,Sandy,2.48,15.0,4663094.12,83.48
Bahawalpur,Rice,Clay,15.97,30.0,19936802.66,172.99
Bahawalpur,Cotton,Sandy,13.53,5.0,22103713.22,1172.14
Faisalabad,Sugarcane,Loam,10.87,30.0,12933761.34,94.73
Bahawalpur,Sugarcane,Loam,6.16,25.0,7039757.86,75.34
Multan,Sugarcane,Sandy,16.81,30.0,31985357.47,147.53
Sukkur,Maize,Sandy,9.2,7.5,12659619.02,147.68
Hyderabad,Maize,Sandy,15.41,7.5,22099774.28,214.2
Faisalabad,Sugarcane,Clay,4.93,40.0,6849523.02,35.72
Hyderabad,Cotton,Loam,4.29,25.0,5087486.1,14.18
Bahawalpur,Rice,Clay,8.41,7.5,10074104.24,355.3
Sargodha,Wheat,Clay,12.45,5.0,9785757.63,203.96
Sargodha,Wheat,Sandy,14.48,10.0,14891072.92,163.77
Lahore,Sugarcane,Sandy,1.01,20.0,1453192.35,17.46
Sukkur,Sugarcane,Loam,6.52,15.0,6858425.29,40.42
Bahawalpur,Rice,Clay,12.54,7.5,16514496.03,597.76
Lahore,Wheat,Loam,14.69,20.0,13371653.87,158.57
Sukkur,Rice,Loam,13.51,50.0,19258998.31,33.96
Sargodha,Cotton,Sandy,4.34,10.0,6612803.44,70.5
Sargodha,Maize,Clay,18.83,30.0,17475971.91,62.76
Sargodha,Maize,Sandy,19.39,40.0,24011264.55,63.82
Faisalabad,Wheat,Sandy,13.17,5.0,24414970.7,1055.33
Hyderabad,Rice,Sandy,4.55,10.0,10342626.62,73.47
Hyderabad,Sugarcane,Loam,17.64,15.0,21431781.86,104.25
Sargodha,Rice,Loam,5.34,30.0,7581656.73,28.37
Multan,Rice,Clay,12.61,50.0,17352990.63,52.66
Hyderabad,Cotton,Loam,11.14,5.0,13555999.64,188.85
Sukkur,Cotton,Loam,13.66,50.0,17600871.34,30.18
Faisalabad,Wheat,Sandy,12.18,15.0,20038268.48,275.01
Faisalabad,Cotton,Loam,19.34,20.0,23833973.95,269.04
Lahore,Sugarcane,Sandy,5.2,20.0,8863789.41,106.93
Lahore,Rice,Sandy,11.03,5.0,22004776.54,1031.44
Hyderabad,Maize,Sandy,5.11,10.0,6786867.2,49.96
Bahawalpur,Rice,Clay,12.12,30.0,17711116.15,160.19
Multan,Cotton,Sandy,15.69,25.0,19330001.14,106.44
Multan,Sugarcane,Sandy,5.49,5.0,10469468.0,310.48
Faisalabad,Maize,Clay,9.07,15.0,7798286.68,109.83
Lahore,Wheat,Loam,13.39,7.5,12595855.59,385.76
Multan,Sugarcane,Loam,1.89,10.0,2344940.04,34.22
Faisalabad,Rice,Sandy,3.0,7.5,7098313.95,203.71
Sargodha,Rice,Sandy,3.62,15.0,5708318.83,40.22
Lahore,Rice,Sandy,2.61,20.0,6003071.97,73.14
Sargodha,Rice,Loam,10.46,5.0,15868903.1,334.24
Hyderabad,Cotton,Sandy,11.27,10.0,18163381.81,134.03
Sargodha,Rice,Sandy,12.98,25.0,21835675.09,96.07
Bahawalpur,Maize,Clay,1.56,30.0,1614443.76,14.23
Faisalabad,Maize,Clay,18.54,7.5,12092152.81,332.54
Sargodha,Rice,Sandy,13.25,40.0,22527533.08,59.87
Lahore,Rice,Loam,12.88,50.0,14886393.03,72.42
Faisalabad,Maize,Sandy,4.71,20.0,8661638.25,91.65
Faisalabad,Wheat,Loam,13.84,7.5,15972033.12,447.14
Sukkur,Cotton,Clay,18.59,40.0,22505729.14,49.5
Hyderabad,Maize,Loam,15.99,40.0,15520382.8,26.71
Sukkur,Sugarcane,Loam,1.32,30.0,1363941.38,4.11
Lahore,Sugarcane,Clay,4.65,25.0,3936808.78,35.13
Bahawalpur,Wheat,Clay,11.97,30.0,9763172.71,86.15
Bahawalpur,Maize,Sandy,11.25,5.0,10191250.92,559.28
Faisalabad,Cotton,Loam,9.03,40.0,9108884.5,47.21
Multan,Cotton,Loam,8.09,10.0,10383621.52,148.96
Sukkur,Cotton,Loam,3.51,20.0,3669823.07,17.06
Lahore,Rice,Sandy,1.11,50.0,2167323.59,10.42
Sukkur,Sugarcane,Sandy,15.5,5.0,24229687.09,442.61
Faisalabad,Sugarcane,Loam,14.46,25.0,21721733.65,181.53
Sukkur,Wheat,Loam,15.74,30.0,11237707.24,33.2
Lahore,Wheat,Sandy,17.2,25.0,29054482.21,279.48
Hyderabad,Rice,Sandy,9.4,50.0,14513998.32,21.83
Hyderabad,Cotton,Clay,14.51,30.0,9791111.82,23.77
Multan,Cotton,Clay,10.44,25.0,8029409.43,45.3
Multan,Maize,Clay,5.98,15.0,4010914.18,38.06
Bahawalpur,Wheat,Sandy,10.87,30.0,16713795.87,146.76
Sargodha,Maize,Sandy,13.66,5.0,17509638.36,388.71
Sargodha,Sugarcane,Clay,6.31,10.0,6072707.79,62.95
Hyderabad,Sugarcane,Clay,13.29,15.0,17332367.41,81.66
Lahore,Maize,Clay,7.59,20.0,7020505.76,79.86
Sargodha,Rice,Clay,2.78,25.0,4171537.72,17.51
Multan,Sugarcane,Loam,13.9,10.0,19301853.71,288.72
Sukkur,Sugarcane,Clay,3.93,25.0,3336138.34,12.18
Hyderabad,Rice,Clay,3.91,15.0,4836894.34,23.07
Multan,Cotton,Clay,9.18,7.5,7811269.4,151.4
Sargodha,Cotton,Loam,1.99,25.0,2680455.17,12.01
Bahawalpur,Maize,Loam,15.22,25.0,11987759.73,126.91
Lahore,Maize,Clay,5.17,7.5,4200757.29,136.95
Lahore,Wheat,Loam,7.26,25.0,7362047.21,68.87
Bahawalpur,Maize,Sandy,10.82,20.0,11574724.53,157.72
Sukkur,Maize,Loam,8.22,15.0,8649339.51,54.15
Hyderabad,Wheat,Clay,9.09,15.0,7138712.27,34.61
Lahore,Sugarcane,Clay,16.48,40.0,13717721.12,81.46
Sargodha,Sugarcane,Loam,19.07,15.0,28462389.61,198.74
Hyderabad,Wheat,Loam,12.75,5.0,10981033.06,150.45
Sukkur,Rice,Clay,6.03,15.0,7004581.87,40.08
Bahawalpur,Wheat,Sandy,14.09,5.0,14718069.7,761.55
Sargodha,Wheat,Sandy,12.86,30.0,14576545.21,51.67
Multan,Sugarcane,Sandy,7.58,7.5,13251107.97,246.08
Bahawalpur,Sugarcane,Clay,9.82,15.0,9734128.23,166.71
Faisalabad,Cotton,Clay,2.32,30.0,2432993.88,18.37
Lahore,Wheat,Sandy,17.56,7.5,23471848.25,752.66
Hyderabad,Cotton,Sandy,8.18,15.0,12549810.84,59.44
Sargodha,Wheat,Loam,18.49,20.0,18557876.64,105.46
Faisalabad,Wheat,Loam,3.76,40.0,4655266.53,24.3
Bahawalpur,Cotton,Loam,5.69,30.0,5118534.15,43.98
Hyderabad,Wheat,Loam,18.39,40.0,23929670.71,41.86
Multan,Wheat,Loam,14.95,15.0,21592309.59,199.22
Bahawalpur,Cotton,Loam,13.31,25.0,13232095.19,140.36
Sukkur,Maize,Sandy,5.14,15.0,6052444.46,35.11
Sargodha,Wheat,Loam,18.04,10.0,20504403.32,221.91
Faisalabad,Wheat,Clay,9.02,25.0,9028291.39,76.86
Sargodha,Rice,Loam,10.93,40.0,13126916.26,33.72
Faisalabad,Cotton,Clay,1.75,25.0,1897725.24,16.95
Sukkur,Wheat,Sandy,7.34,30.0,12590798.2,37.13
Bahawalpur,Rice,Loam,6.4,15.0,9756158.85,184.66
Multan,Wheat,Clay,14.62,40.0,16556784.89,61.6
Lahore,Cotton,Sandy,19.72,7.5,30155766.11,912.08
Bahawalpur,Wheat,Loam,12.35,15.0,12488788.5,230.41
Sargodha,Cotton,Sandy,17.53,40.0,28603235.41,79.52
Sukkur,Cotton,Loam,11.96,5.0,12866699.19,237.75
Lahore,Maize,Sandy,15.54,15.0,20299400.89,321.76
Sukkur,Rice,Loam,11.84,30.0,18756261.11,56.78
Sukkur,Cotton,Loam,1.18,30.0,1723489.04,4.97
Multan,Wheat,Loam,18.56,15.0,17474038.8,160.87
Multan,Wheat,Sandy,18.62,5.0,21088872.47,591.97
Multan,Sugarcane,Clay,19.47,5.0,21695535.42,649.55
Bahawalpur,Rice,Clay,4.26,50.0,4429791.71,24.61
Sargodha,Maize,Sandy,19.97,25.0,26913356.05,114.02
Faisalabad,Sugarcane,Clay,14.45,5.0,13758573.57,599.35
Sargodha,Wheat,Sandy,18.17,25.0,22506501.84,96.33
Sargodha,Wheat,Sandy,3.2,15.0,4014621.84,28.82
Multan,Maize,Loam,3.42,40.0,3949196.41,14.86
Bahawalpur,Rice,Sandy,3.23,50.0,7085727.07,38.39
Sukkur,Wheat,Sandy,10.9,25.0,19572981.15,67.41
Bahawalpur,Maize,Loam,15.51,7.5,15661220.99,577.49
Hyderabad,Wheat,Clay,17.55,15.0,13310622.52,67.34
Hyderabad,Rice,Loam,18.34,50.0,29113293.13,40.29
Multan,Cotton,Loam,18.27,20.0,14442028.81,99.19
Multan,Maize,Sandy,7.62,15.0,12988973.98,131.26
Bahawalpur,Rice,Loam,17.94,25.0,31345147.1,337.41
Bahawalpur,Sugarcane,Sandy,10.08,10.0,18824131.27,516.12
Hyderabad,Rice,Clay,3.66,5.0,3552207.76,49.31
Faisalabad,Rice,Loam,6.03,20.0,8065787.94,82.88
Multan,Sugarcane,Clay,11.55,10.0,13560042.72,188.29
Sukkur,Cotton,Sandy,18.22,25.0,26319981.07,91.59
Multan,Rice,Sandy,10.07,10.0,22049237.79,305.01
Bahawalpur,Sugarcane,Clay,7.19,25.0,9698899.28,107.74
Faisalabad,Sugarcane,Clay,6.23,5.0,6274913.75,280.34
Sukkur,Maize,Sandy,5.51,7.5,8303905.01,95.58
Lahore,Maize,Sandy,17.46,50.0,23830298.77,110.63
Bahawalpur,Maize,Clay,17.1,25.0,12587877.4,142.34
Sukkur,Sugarcane,Sandy,2.89,25.0,5153336.1,19.35
Bahawalpur,Wheat,Sandy,11.13,25.0,16150410.79,169.78
Bahawalpur,Sugarcane,Clay,5.58,50.0,5167432.58,27.03
Faisalabad,Wheat,Sandy,12.65,15.0,18317708.74,270.61
Sargodha,Sugarcane,Sandy,2.78,40.0,4215256.32,10.83
Bahawalpur,Sugarcane,Loam,15.17,7.5,20096054.4,708.36
Hyderabad,Sugarcane,Loam,6.61,10.0,7197344.25,50.23
Bahawalpur,Maize,Clay,8.77,15.0,7500605.38,129.77
Faisalabad,Sugarcane,Sandy,14.84,10.0,22935565.19,519.0
Hyderabad,Rice,Loam,7.35,25.0,9772300.6,28.11
Lahore,Sugarcane,Clay,8.1,25.0,9006380.47,85.66
Multan,Rice,Sandy,4.78,25.0,10174186.35,61.44
Multan,Cotton,Clay,18.48,20.0,17557179.68,131.98
Lahore,Maize,Sandy,2.91,10.0,3841116.79,88.42
Hyderabad,Rice,Sandy,7.48,40.0,18093040.69,33.4
Sukkur,Cotton,Clay,18.68,50.0,13466333.85,23.14
Bahawalpur,Cotton,Clay,12.71,10.0,12029146.79,317.01
Multan,Sugarcane,Loam,19.15,10.0,22509445.65,314.01
Multan,Cotton,Loam,18.22,30.0,16663538.47,76.66
Sargodha,Maize,Clay,3.76,40.0,3119106.45,8.53
Lahore,Sugarcane,Sandy,6.23,30.0,10326529.67,81.93
Sargodha,Sugarcane,Loam,19.02,50.0,27966191.17,58.89
Bahawalpur,Sugarcane,Sandy,11.35,7.5,27419702.17,971.79
Sukkur,Cotton,Loam,12.14,10.0,15432844.33,137.93
Multan,Maize,Clay,19.81,40.0,15029157.05,54.14
Lahore,Wheat,Loam,18.23,20.0,15299325.0,171.05
Sukkur,Wheat,Loam,3.05,5.0,2943392.1,51.98
Sukkur,Rice,Clay,8.21,25.0,10683850.35,39.07
Bahawalpur,Maize,Loam,19.3,5.0,17074077.17,906.2
Multan,Sugarcane,Clay,2.06,40.0,2731986.4,10.35
Faisalabad,Wheat,Loam,12.74,20.0,10525182.68,113.62
Faisalabad,Maize,Clay,11.23,5.0,7444135.45,333.89
Sukkur,Maize,Clay,16.47,40.0,13355967.62,29.64
Faisalabad,Cotton,Loam,2.77,10.0,3191093.87,67.38
Bahawalpur,Sugarcane,Loam,5.2,15.0,7332456.54,126.41
